Fecha,Dato Fraudulento,Institucion Afectada,Tipo de Fraude,Validacion,Q
2019-04-10,https://www.facebook.com/confianzaeconomica,"confianza economica, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2019Q2
2019-04-07,https://www.facebook.com/ernesto.peralta.7528,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q2
2019-03-19,facebook angela murtia,"dun & bradstreet, s.a. sociedad de informacion crediticia y trans union de mexico, s.a., sociedad de informacion crediticia",redes sociales,portal de fraudes financieros,2019Q1
2019-03-19,facebook jorge antonio hernandez,"dun & bradstreet, s.a. sociedad de informacion crediticia y trans union de mexico, s.a., sociedad de informacion crediticia",redes sociales,portal de fraudes financieros,2019Q1
2019-03-15,https://www.facebook.com/karetfinanciera21504443,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-15,https://www.facebook.com/karetfinanciera2150444398372614/,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-14,https://www.facebook.com/mujerempresaria2012/?ti=a,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-13,facebook asks,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-02,facebook daniel valencia,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-03-01,facebook prestamos daniel gabriel muñoz valencia,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-02-20,https://www.facebook.com/profile.php?id=1000263591,"adient impulso, s.a.p.i. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-02-19,facebook niños valencia daniel gabriel,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-02-07,https://www.facebook.com/1teresagallardo,no aplica,redes sociales,portal de fraudes financieros,2019Q1
2019-01-24,https://www.facebook.com/poderfinanmx/,"finae, s.a.p.i. de c.v. sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-04,https://m.facebook.com/tuefectivomx/?locale2=es_la,qar consultoria integral,redes sociales,portal de fraudes financieros,2019Q1
2018-12-24,https://www.facebook.com/pina.contreras3,"banco mercantil del norte, s.a., institucion de banca multiple, grupo financiero banorte",redes sociales,portal de fraudes financieros,2018Q4
2018-12-09,https://www.facebook.com/prestamosplusmexico/,prestamos plus,redes sociales,portal de fraudes financieros,2018Q4
2018-11-30,https://www.facebook.com/seminuevos.mx,"general motors de mexico, s. de r.l. de c.v.",redes sociales,portal de fraudes financieros,2018Q4
2018-11-26,https://www.facebook.com/creditomexico.org/,,redes sociales,portal de fraudes financieros,2018Q4
2018-11-20,https://www.facebook.com/confianza.fin/,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-20,https://www.facebook.com/mundofinancierouniversal/,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-14,https://www.facebook.com/asistenciafinanciera11/,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-12,https://www.facebook.com/fincreditoysolucion/,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-03,https://www.facebook.com/profile.php?id=1000243353,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-03,https://www.facebook.com/profile.php?id=100024335353891,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-31,https://www.facebook.com/redstoremx/,apple inc.,redes sociales,portal de fraudes financieros,2018Q4
2018-10-31,https://www.facebook.com/redstiremx/,apple inc.,redes sociales,portal de fraudes financieros,2018Q4
2018-10-27,https://www.facebook.com/tualidadofin/,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,https://www.facebook.com/rcfastcredit1098285883,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-16,https://www.facebook.com/mundofinancierouniversal/,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2020-02-28,@bbvare_bmx,"bbva bancomer, s.a., institucion de banca multiple, grupo financiero bbva bancomer",redes sociales,portal de fraudes financieros,2020Q1
2020-02-05,https://fb.me/36qw86nqp,sin dato preciso,redes sociales,portal de fraudes financieros,2020Q1
2020-01-14,creditos libertad soluciones de vida,"libertad servicios financieros, s.a. de c.v., s.f.p.",redes sociales,instituciones financieras,2020Q1
2020-01-14,financiamiento y creditos libertad,"libertad servicios financieros, s.a. de c.v., s.f.p.",redes sociales,instituciones financieras,2020Q1
2019-12-28,https://fb.me/2kpz7xqho,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q4
2019-12-26,@bbv7are_mx,"bbva bancomer, s.a., institucion de banca multiple, grupo financiero bbva bancomer",redes sociales,portal de fraudes financieros,2019Q4
2019-11-11,prestacashfinanciera,"presta soluciones, s.a.p.i. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2019Q4
2019-11-08,https://fb.me/2nc5arves,"terra servicios financieros, s.a. de c.v., s.o.f.o.m., e.n.r.",redes sociales,instituciones financieras,2019Q4
2019-11-01,financiamiento y prestamos caja buenos aires,caja buenos aires s.c. de a.p. de r.l. de c.v.,redes sociales,instituciones financieras,2019Q4
2019-10-28,https://fb.me/2nc5arves,"terra servicios financieros, s.a. de c.v., s.o.f.o.m., e.n.r.",redes sociales,instituciones financieras,2019Q4
2019-10-28,financiamiento y prestamos caja buenos aires,caja buenos aires s.c. de a.p. de r.l. de c.v.,redes sociales,instituciones financieras,2019Q4
2019-10-22,https://twitter.com/acercateatn,"financiera acercate, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2019Q4
2019-09-18,andreagonz,"accender liquidez, s.a. de c.v. sofom, e.n.r.",redes sociales,instituciones financieras,2019Q3
2019-08-04,fernanda cervantes cruz,"credito familiar, s.a. de c.v., sofom e.r., grupo financiero scotiabank inverlat",redes sociales,portal de fraudes financieros,2019Q3
2019-07-31,prestamos unidos mexicanos,capital para mexicanos emprendedores s.a de c.v. sofom e.n.r.,redes sociales,instituciones financieras,2019Q3
2019-06-08,financia mex,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q2
2019-05-03,prestito creditos confiables,"prestam servicios financieros , s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2019Q2
2019-04-25,ivan hernandez,"porta credito y/o xilonem empresarial, s.a. de c.v.",redes sociales,portal de fraudes financieros,2019Q2
2019-04-25,fernando hernandez,"porta credito y/o xilonem empresarial, s.a. de c.v.",redes sociales,portal de fraudes financieros,2019Q2
2019-04-25,5588489125,"porta credito y/o xilonem empresarial, s.a. de c.v.",redes sociales,portal de fraudes financieros,2019Q2
2019-04-25,558848483046,"porta credito y/o xilonem empresarial, s.a. de c.v.",redes sociales,portal de fraudes financieros,2019Q2
2019-04-25,5588483051,"porta credito y/o xilonem empresarial, s.a. de c.v.",redes sociales,portal de fraudes financieros,2019Q2
2019-04-15,impulso adi,"finadix, s.a. de c.v., sofom e.n.r.",redes sociales,instituciones financieras,2019Q2
2019-04-15,http://api.whatsapp.com/semd?phone=525531429020,"finadix, s.a. de c.v., sofom e.n.r.",redes sociales,instituciones financieras,2019Q2
2019-04-12,glprestamos y finanzas,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q2
2019-04-12,lic. ricardo reyes,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q2
2019-03-30,sin dato preciso,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-27,sin dato preciso,"dreamoney, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-03-27,sin dato preciso,"mi solucion productiva, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-03-03,9982658411,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-03,9984231600,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-03,9983505522,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-03,financiera el mejor trato de cancun,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-03,financiera credito y solucion,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-03-02,sin dato preciso,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-03-01,financiera prestamo simple,sin dato preciso,redes sociales,portal de fraudes financieros,2019Q1
2019-02-23,financia mex,no aplica,redes sociales,portal de fraudes financieros,2019Q1
2019-01-30,vacantes villahermosa,"con ser tu amigo, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2019Q1
2019-01-22,alonso castillo,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-16,veronica jimenez,"el buen apoyo para nuestro negocio, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-15,mi lana,"lana +, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-11,sin dato preciso,financiera tu futuro,redes sociales,portal de fraudes financieros,2019Q1
2019-01-11,te presto +,te presto +,redes sociales,portal de fraudes financieros,2019Q1
2019-01-10,sin dato preciso,financiera sumate,redes sociales,portal de fraudes financieros,2019Q1
2019-01-09,@prestoclick,presto click,redes sociales,portal de fraudes financieros,2019Q1
2019-01-09,financiera mex,"agrofinanciera internacional, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-09,mi lana tu oportunidad,mi lana tu oportunidad,redes sociales,portal de fraudes financieros,2019Q1
2019-01-09,fortaleza a mi futuro,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-09,alfonso castillo,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-05,consec,consec,redes sociales,portal de fraudes financieros,2019Q1
2019-01-04,https://fb.me/5onpjhkna,instant credit,redes sociales,portal de fraudes financieros,2019Q1
2019-01-03,asistencia financiera,asistencia financiera,redes sociales,portal de fraudes financieros,2019Q1
2019-01-03,prestamos individuales,"fortaleza a mi futuro, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2019Q1
2019-01-02,buro de credito,creando tu futuro,redes sociales,portal de fraudes financieros,2019Q1
2018-12-26,alfa solutions money s.a. de c.v.,alfa solutions money s.a. de c.v.,redes sociales,portal de fraudes financieros,2018Q4
2018-12-24,pina contreras,"banco mercantil del norte, s.a., institucion de banca multiple, grupo financiero banorte",redes sociales,portal de fraudes financieros,2018Q4
2018-12-24,carlos fernandez,"banco mercantil del norte, s.a., institucion de banca multiple, grupo financiero banorte",redes sociales,portal de fraudes financieros,2018Q4
2018-12-24,alejandra martinez anguiano,"banco mercantil del norte, s.a., institucion de banca multiple, grupo financiero banorte",redes sociales,portal de fraudes financieros,2018Q4
2018-12-24,8681579965,"banco mercantil del norte, s.a., institucion de banca multiple, grupo financiero banorte",redes sociales,portal de fraudes financieros,2018Q4
2018-12-17,financia mex,financia mex,redes sociales,portal de fraudes financieros,2018Q4
2018-12-17,alfa capital,alfa capital s.a. de c. v.,redes sociales,portal de fraudes financieros,2018Q4
2018-12-17,animo para crecer,animo para crecer,redes sociales,portal de fraudes financieros,2018Q4
2018-12-14,bill capital,activa & capital,redes sociales,portal de fraudes financieros,2018Q4
2018-12-08,prestafam,"banco mercantil del norte, s.a., institucion de banca multiple, grupo financiero banorte",redes sociales,portal de fraudes financieros,2018Q4
2018-12-07,banca financiera,banca financiera grupo reymar,redes sociales,portal de fraudes financieros,2018Q4
2018-12-07,lizbet hidalgo gutierrez,"csck d, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-12-07,daniela torres,"csck d, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-12-07,daniela lujan segura,"csck d, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-12-07,csckd.finanzas@gmail.con,"csck d, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-12-05,mundo financiero,mundo financiero,redes sociales,portal de fraudes financieros,2018Q4
2018-12-04,financiera ggi,financiera ggi global group,redes sociales,portal de fraudes financieros,2018Q4
2018-12-03,jesus guzman morales,prestafam,redes sociales,portal de fraudes financieros,2018Q4
2018-11-30,sin dato preciso,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-30,https://twitter.com/seminuevosmx,"general motors de mexico, s. de r.l. de c.v.",redes sociales,portal de fraudes financieros,2018Q4
2018-11-30,https://www.youtube.com/channel/ucqaosir3mm2vabjdq_0tvsg,"general motors de mexico, s. de r.l. de c.v.",redes sociales,portal de fraudes financieros,2018Q4
2018-11-21,nestle,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-13,martin fuentes,no aplica,redes sociales,condusef,2018Q4
2018-11-11,sociedad patrimonial,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-10,pro alianza,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-10,mendez ignacio,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-09,bensocial s.a. de c.v.,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-08,sin dato preciso,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-08,https://fb.me/1abnqrwsd financieramex,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-11-05,pro alianza,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-31,fingroup,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-31,sin dato preciso,"bbva bancomer, s.a., institucion de banca multiple, grupo financiero bbva bancomer",redes sociales,portal de fraudes financieros,2018Q4
2018-10-29,sin dato preciso,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-28,sin dato preciso,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-25,siempre creciendo,"siempre creciendo, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q4
2018-10-25,sin dato preciso,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-24,efirme,"afirme grupo financiero, s. a. de c. v.",redes sociales,portal de fraudes financieros,2018Q4
2018-10-24,presto fin,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-23,sin dato preciso,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-22,hidalfin,"hidalfin, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-10-22,sin dato preciso,"sociedad financiera de credito popular nacional, s.a. de c.v., s.f.p.",redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,fortumex,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,apple,apple inc.,redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,limpiamos tu buro de credito,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,sin dato preciso,"bac servicios financieros s.a de c.v., sofom e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,asistencia financiera s.a. de c.v.,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,@crediadmo,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-17,rc fast credit,no aplica,redes sociales,portal de fraudes financieros,2018Q4
2018-10-16,presto.fin,"prestomyc, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q4
2018-10-12,"""creditech"" (sic)","kreditech mexico, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q4
2018-10-12,creditech,"kreditech mexico, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q4
2018-10-10,@financierasuma,no aplica,redes sociales,condusef,2018Q4
2018-10-10,sociedad patrimonial,no aplica,redes sociales,condusef,2018Q4
2018-10-10,"""sofinot sa de cv"" (sic)","sofinot sociedad financiera, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q4
2018-10-10,sofinot sa de cv,"sofinot sociedad financiera, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q4
2018-10-09,"""kubofinanciero"" (sic)","kubo financiero, s.a. de c.v., s.f.p.",redes sociales,condusef,2018Q4
2018-10-09,sin dato preciso,"finantial business mexico, s.a. de c.v. sofom e.n.r.",redes sociales,condusef,2018Q4
2018-10-04,cf soluciones mexicos.de r.l.de c.v,"credifacil, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q4
2018-10-04,credifacil,"credifacil, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q4
2018-09-28,crediefectivo mexico,"financiera finsol, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q3
2018-07-11,crediefectivo,"finagil, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q3
2018-07-05,fincrecem,"fincrecem, s.a. de c.v. sofom, e.n.r.",redes sociales,condusef,2018Q3
2018-06-28,hidalfin,"hidalfin, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q2
2018-06-08,total credit,no aplica,redes sociales,condusef,2018Q2
2018-05-24,prestamos personales en linea,"credifom, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q2
2018-04-25,industrial money,"money holding, s.a.p.i. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q2
2018-03-07,financiera inversion mexicana s.a. de c.v.,no disponible,redes sociales,condusef,2018Q1
2018-03-01,hidalfin,"hidalfin, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2018Q1
2018-02-28,grupo impulsor,"grupo impulsor progresa tp, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q1
2018-02-26,global finance ira s.a. de c.v.,no aplica,redes sociales,condusef,2018Q1
2018-02-23,sumando creditos,no disponible,redes sociales,condusef,2018Q1
2018-02-22,credinet,"credi solution, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q1
2018-02-14,hinv,"hinv, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q1
2018-01-30,edinero,"financiera dinero inmediato, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q1
2018-01-30,https://fb.me/9fkd4cswk,"financiera dinero inmediato, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2018Q1
2018-01-22,dinero inmediato,"financiera dinero inmediato, s.a. de c.v., sofom, e.n.r.",redes sociales,condusef,2018Q1
